scenario,variant,head_correct,head_pct,frozen_correct,frozen_pct,claude_ms_head,claude_ms_frozen,tokens_in_head,tokens_out_head,tokens_in_frozen,tokens_out_frozen
easy-1,original,110,94.0,117,100.0,8390,8670,7595,435,10800,478
easy-1,variant-1,110,94.0,117,100.0,6796,6916,7585,396,10790,453
easy-1,variant-2,109,93.2,117,100.0,6561,5882,7582,397,10787,371
easy-1,variant-3,111,94.9,115,98.3,6437,7059,7566,414,10771,496
easy-1,variant-4,110,94.0,117,100.0,5533,6747,7581,373,10786,459
easy-1,variant-5,110,94.0,114,97.4,6051,7322,7569,382,10774,479
easy-1,variant-6,108,92.3,116,99.1,6361,15266,7572,404,10777,979
easy-1,variant-7,108,92.3,114,97.4,6114,6236,7562,395,10767,426
easy-1,variant-8,110,94.0,115,98.3,7294,7048,7569,387,10774,477
easy-1,variant-9,108,92.3,116,99.1,8552,6427,7565,451,10770,431
easy-1,variant-10,109,93.2,115,98.3,7049,14877,7579,446,10784,981
easy-2,original,108,92.3,116,99.1,6195,6189,7568,436,10773,377
easy-2,variant-1,108,92.3,116,99.1,5001,6051,7569,291,10774,366
easy-2,variant-2,107,91.5,116,99.1,5594,17570,7565,285,10770,1158
easy-2,variant-3,109,93.2,116,99.1,7118,9328,7567,448,10772,415
easy-2,variant-4,108,92.3,116,99.1,5543,7012,7567,311,10772,416
easy-2,variant-5,107,91.5,116,99.1,4936,8325,7570,286,10775,543
easy-2,variant-6,107,91.5,117,100.0,6064,15038,7560,284,10765,957
easy-2,variant-7,106,90.6,117,100.0,5625,6430,7567,289,10772,433
easy-2,variant-8,109,93.2,117,100.0,4723,16452,7559,299,10764,1147
easy-2,variant-9,108,92.3,116,99.1,5609,13438,7566,304,10771,612
easy-2,variant-10,109,93.2,115,98.3,5281,18208,7566,292,10771,638
easy-3,original,104,88.9,113,96.6,6066,11330,7570,318,10775,879
easy-3,variant-1,107,91.5,114,97.4,10053,9728,7566,321,10771,479
easy-3,variant-2,106,90.6,112,95.7,5574,9430,7560,329,10765,472
easy-3,variant-3,109,93.2,116,99.1,6026,15759,7567,356,10772,1011
easy-3,variant-4,107,91.5,114,97.4,4967,10719,7559,303,10764,823
easy-3,variant-5,107,91.5,114,97.4,6026,7772,7569,348,10774,440
easy-3,variant-6,106,90.6,115,98.3,5918,15447,7561,384,10766,1009
easy-3,variant-7,106,90.6,113,96.6,6296,8019,7561,391,10766,499
