scenario,speaker,head_correct,head_pct,frozen_correct,frozen_pct
easy-1,edoardo,110,94.0,117,100.0
easy-1,guido,111,94.9,117,100.0
easy-1,raj,110,94.0,116,99.1
easy-2,alex,107,91.5,116,99.1
easy-2,castiel,108,92.3,117,100.0
easy-2,ellie,107,91.5,114,97.4
easy-3,don,104,88.9,114,97.4
easy-3,dyandra,105,89.7,111,94.9
easy-3,matthew,107,91.5,109,93.2
hard-1,alex,111,94.9,112,95.7
hard-1,castiel,113,96.6,111,94.9
hard-1,raj,109,93.2,116,99.1
hard-2,don,111,94.9,114,97.4
hard-2,edoardo,114,97.4,115,98.3
hard-2,matthew,112,95.7,116,99.1
hard-3,dyandra,107,91.5,112,95.7
hard-3,ellie,112,95.7,115,98.3
hard-3,guido,113,96.6,115,98.3
medium-1,alex,106,90.6,109,93.2
medium-1,guido,107,91.5,109,93.2
medium-1,raj,107,91.5,107,91.5
medium-2,don,108,92.3,111,94.9
medium-2,edoardo,106,90.6,113,96.6
medium-2,matthew,110,94.0,115,98.3
medium-3,castiel,108,92.3,110,94.0
medium-3,dyandra,108,92.3,112,95.7
medium-3,ellie,107,91.5,110,94.0
