scenario,speaker,whisper_ms,claude_ms_head,claude_ms_frozen,tokens_in_head,tokens_out_head,tokens_in_frozen,tokens_out_frozen
easy-1,edoardo,4572,7470,8746,7591,409,10796,412
easy-1,guido,4455,6794,6564,7589,401,10794,379
easy-1,raj,2917,6626,6858,7606,397,10811,414
easy-2,alex,2825,5654,6798,7565,269,10770,414
easy-2,castiel,2774,5186,7634,7564,273,10769,351
easy-2,ellie,28903,5767,7091,7564,306,10769,363
easy-3,don,7126,6794,8419,7578,351,10783,451
easy-3,dyandra,2764,8007,9221,7573,568,10778,585
easy-3,matthew,2682,6909,9981,7589,411,10794,613
hard-1,alex,9126,18278,21008,7782,1104,10987,1274
hard-1,castiel,5201,16499,22173,7743,1022,10948,1303
hard-1,raj,6160,24749,23616,7826,1607,11031,1504
hard-2,don,5810,14925,21146,7772,960,10977,1389
hard-2,edoardo,5405,16839,20673,7767,1032,10972,1280
hard-2,matthew,5204,16747,19906,7776,1079,10981,1250
hard-3,dyandra,3818,15724,15730,7683,1052,10888,1172
hard-3,ellie,3999,11299,21064,7680,829,10885,1371
hard-3,guido,3989,12929,18938,7681,797,10886,1208
medium-1,alex,5123,12817,13287,7708,850,10913,796
medium-1,guido,5174,21663,12168,7710,1204,10915,880
medium-1,raj,4598,14178,13070,7727,939,10932,881
medium-2,don,8789,16576,19645,7747,1053,10952,1292
medium-2,edoardo,4658,22282,22062,7741,1404,10946,1536
medium-2,matthew,5068,17261,20727,7790,1018,10995,1251
medium-3,castiel,4830,12848,21245,7709,748,10914,1380
medium-3,dyandra,3850,12035,22627,7706,846,10911,1508
medium-3,ellie,4702,12073,22362,7704,742,10909,1520
